fecha,ventana,cluster_id_dia,n_nodos,n_nodos_servidos,n_nodos_no_servidos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-25,PM,10,9,9,0,10.344,1486.897,2,31.452,0.037
2026-12-25,PM,11,5,5,0,14.146,2015.535,2,47.614,0.033
2026-12-25,PM,3,11,11,0,14.979,2334.305,2,38.984,0.036
2026-12-25,PM,6,6,6,0,13.436,1840.634,2,34.625,0.034
2026-12-25,PM,7,11,11,0,15.438,2108.322,2,13.003,0.036
2026-12-25,PM,8,10,10,0,15.386,1907.604,2,15.996,0.036
2026-12-26,AM,10,11,11,0,15.357,2260.758,2,41.232,0.037
2026-12-26,AM,11,12,12,0,15.507,2090.484,2,57.265,0.039
2026-12-26,AM,2,19,19,0,14.67,2336.282,2,65.739,0.048
2026-12-26,AM,3,17,17,0,15.735,2499.325,2,79.495,0.043
2026-12-26,AM,4,16,16,0,15.578,2374.027,2,68.674,0.042
2026-12-26,AM,9,16,16,0,15.455,2239.301,2,30.581,0.039
2026-12-26,PM,1,11,11,0,15.76,2385.751,2,20.258,0.035
2026-12-26,PM,12,7,7,0,7.258,974.367,1,39.129,0.035
2026-12-26,PM,5,13,13,0,15.162,2078.914,2,13.211,0.038
2026-12-26,PM,6,15,15,0,14.586,2124.897,2,16.45,0.043
2026-12-26,PM,7,16,16,0,15.565,2346.797,2,15.927,0.04
2026-12-26,PM,8,11,11,0,15.379,2141.348,2,17.522,0.034
2026-12-27,AM,1,16,16,0,15.993,2512.984,2,50.444,0.039
2026-12-27,AM,10,13,13,0,15.152,2235.735,2,59.234,0.042
2026-12-27,AM,4,16,16,0,15.968,2567.335,2,40.565,0.041
2026-12-27,AM,5,16,16,0,15.027,2431.568,2,76.882,0.041
2026-12-27,AM,7,18,18,0,15.774,2447.512,2,18.792,0.039
2026-12-27,AM,9,12,12,0,14.528,2027.085,2,47.991,0.036
2026-12-27,PM,11,7,7,0,5.004,799.446,1,39.813,0.035
2026-12-27,PM,2,9,9,0,12.709,1749.694,2,82.05,0.04
2026-12-27,PM,3,8,8,0,14.881,2066.927,2,47.348,0.034
2026-12-27,PM,6,15,15,0,15.527,2339.599,2,13.713,0.037
2026-12-27,PM,8,14,14,0,14.538,2250.816,2,26.662,0.039
2026-12-28,AM,1,14,14,0,15.455,2479.484,2,48.271,0.037
2026-12-28,AM,10,17,17,0,15.911,2218.564,2,75.323,0.043
2026-12-28,AM,2,20,20,0,15.879,2439.735,2,66.917,0.054
2026-12-28,AM,3,15,15,0,15.642,2338.022,2,46.145,0.037
2026-12-28,AM,4,14,14,0,13.88,1928.487,2,73.303,0.037
2026-12-28,AM,9,12,12,0,15.874,2432.735,2,47.408,0.037
2026-12-28,PM,11,1,1,0,0.381,59.002,1,33.684,0.033
2026-12-28,PM,5,17,17,0,15.512,2241.213,2,15.199,0.041
2026-12-28,PM,6,15,15,0,15.62,2226.36,2,17.892,0.039
2026-12-28,PM,7,14,14,0,14.449,2181.279,2,23.525,0.038
2026-12-28,PM,8,11,11,0,14.145,2071.561,2,33.22,0.037
2026-12-29,AM,2,11,11,0,15.935,2272.865,2,58.711,0.036
2026-12-29,AM,3,15,15,0,15.283,2332.675,2,84.314,0.039
2026-12-29,AM,4,17,17,0,15.049,2183.327,2,64.61,0.049
2026-12-29,AM,7,17,17,0,14.667,2313.725,2,31.324,0.043
2026-12-29,AM,9,12,12,0,9.407,1537.916,2,70.372,0.037
2026-12-29,PM,1,11,11,0,14.523,2269.61,2,20.897,0.037
2026-12-29,PM,5,13,13,0,14.897,2268.644,2,14.751,0.039
2026-12-29,PM,6,17,17,0,15.382,2384.983,2,16.547,0.041
2026-12-29,PM,8,8,8,0,15.508,2097.617,2,34.612,0.034
2026-12-30,AM,1,16,16,0,15.545,2276.256,2,47.681,0.041
2026-12-30,AM,2,14,14,0,15.387,2087.646,2,78.645,0.038
2026-12-30,AM,5,23,23,0,15.68,2426.43,2,17.876,0.056
2026-12-30,AM,8,13,13,0,15.208,2205.701,2,66.85,0.037
2026-12-30,PM,3,13,13,0,15.343,2129.888,2,49.377,0.036
2026-12-30,PM,4,13,13,0,14.443,2067.373,2,58.078,0.037
2026-12-30,PM,6,16,16,0,14.447,2259.443,2,27.344,0.045
2026-12-30,PM,7,11,11,0,15.841,2243.071,2,38.031,0.035
2026-12-31,AM,1,12,12,0,14.654,2293.91,2,49.567,0.037
2026-12-31,AM,3,16,16,0,15.777,2170.582,2,39.099,0.04
2026-12-31,AM,6,15,15,0,15.239,2152.75,2,26.881,0.038
2026-12-31,AM,7,19,19,0,15.718,2488.548,2,73.19,0.049
2026-12-31,PM,2,13,13,0,12.47,1839.653,2,81.837,0.043
2026-12-31,PM,4,16,16,0,15.516,2374.579,2,16.083,0.038
2026-12-31,PM,5,14,14,0,15.817,2186.468,2,19.521,0.038
2026-12-31,PM,8,2,2,0,1.061,199.29,1,32.46,0.033
2027-01-01,AM,1,10,10,0,15.889,2062.474,2,36.914,0.034
2027-01-01,AM,2,12,12,0,12.176,1672.916,2,79.806,0.037
2027-01-01,AM,4,18,18,0,15.62,2487.077,2,61.888,0.047
2027-01-01,AM,7,19,19,0,15.815,2414.246,2,48.677,0.041
2027-01-01,PM,3,9,9,0,14.808,2070.423,2,33.949,0.034
2027-01-01,PM,5,14,14,0,15.168,2273.957,2,15.455,0.04
2027-01-01,PM,6,13,13,0,15.967,2332.227,2,21.721,0.036
2027-01-01,PM,8,6,6,0,7.931,1135.02,1,28.432,0.079
2027-01-02,AM,1,17,17,0,15.169,2330.588,2,57.469,0.041
2027-01-02,AM,3,18,18,0,15.172,2467.578,2,63.591,0.042
2027-01-02,AM,5,20,20,0,15.428,2370.875,2,16.387,0.046
2027-01-02,AM,7,16,16,0,15.706,2381.875,2,64.726,0.048
2027-01-02,PM,2,14,14,0,15.072,2293.662,2,83.687,0.038
2027-01-02,PM,4,14,14,0,15.658,2449.26,2,40.385,0.04
2027-01-02,PM,6,18,18,0,15.394,2186.327,2,26.688,0.058
2027-01-02,PM,8,11,11,0,7.148,1129.565,1,39.78,0.045
2027-01-03,AM,1,14,14,0,15.845,2433.007,2,67.77,0.045
2027-01-03,AM,2,14,14,0,14.435,2067.734,2,59.981,0.042
2027-01-03,AM,6,9,9,0,12.568,1745.609,2,48.537,0.036
2027-01-03,PM,3,8,8,0,15.075,2071.006,2,14.424,0.036
2027-01-03,PM,4,12,12,0,10.392,1711.41,2,15.835,0.039
2027-01-03,PM,5,11,11,0,13.665,1881.314,2,31.484,0.038
2027-01-04,AM,1,12,12,0,15.905,2211.877,2,80.376,0.045
2027-01-04,AM,3,19,19,0,15.24,2312.48,2,72.755,0.054
2027-01-04,PM,2,10,10,0,15.15,2090.511,2,50.331,0.036
2027-01-05,AM,1,4,4,0,6.738,1045.815,1,21.387,0.033
